tmdb_id,title,release_date,release_year,release_window,genres,genre_bn,budget,revenue,budget_adj,revenue_adj,profit_ratio,outcome_label,budget_tier,prestige_tier,lead_actor,cast_names,cast_ids,runtime,vote_average,vote_count,popularity
239563,St. Vincent,2014-10-09,2014,Other,Comedy,Comedy,13000000,54837234,17289176.17237009,72930046.0,4.218248762861808,Hit,Low,Rising,Bill Murray,Bill Murray|Melissa McCarthy|Jaeden Martell|Naomi Watts|Chris O'Dowd,1532|55536|1274508|3489|40477,102,7.112,2043,3.8553
9275,Death to Smoochy,2002-03-29,2002,Spring,Comedy|Crime|Drama|Thriller,Comedy,55000000,8400000,96241133.96331295,14698646.0,0.15272727361673766,Flop,Mid,Rising,Robin Williams,Robin Williams|Edward Norton|Catherine Keener|Danny DeVito|Jon Stewart,2157|819|2229|518|12219,109,5.9,429,1.4601
58431,Pride and Prejudice and Zombies,2016-02-04,2016,Other,Romance|Horror|Comedy|Thriller,Drama,28000000,16457494,36726200.0,21586472.0,0.5877676427182774,Flop,Low,Rising,Lily James,Lily James|Sam Riley|Jack Huston|Bella Heathcote|Douglas Booth,1016168|32987|54738|234982|230680,108,6.165,2290,3.9627
9280,Femme Fatale,2002-04-30,2002,Spring,Mystery|Crime|Thriller,Horror,35000000,16800000,61244357.976653695,29397292.0,0.4800000027954612,Flop,Mid,Rising,Rebecca Romijn,Rebecca Romijn|Antonio Banderas|Peter Coyote|Ériq Ebouaney|Édouard Montoute,11008|3131|9979|25078|5441,114,6.163,649,2.448
17473,The Room,2003-06-27,2003,Summer,Drama|Romance,Drama,6000000,1752988,10265086.956521738,2999096.0,0.29216469501942,Flop,Low,Emerging,Tommy Wiseau,Tommy Wiseau|Juliette Danielle|Greg Sestero|Philip Haldiman|Carolyn Minnott,81916|81917|81918|81919|81920,100,3.992,1516,2.9148
1088,Whale Rider,2003-01-30,2003,Other,Drama|Family,Drama,8000000,41400000,13686782.608695652,70829100.0,5.175,Blockbuster,Low,Emerging,Keisha Castle-Hughes,Keisha Castle-Hughes|Rawiri Paratene|Vicky Haughton|Cliff Curtis|Grant Roa,15293|15294|15295|7248|15296,101,7.0,440,1.5155
418879,The Current War,2018-02-01,2018,Other,Drama|History,Drama,30000000,12217160,37610035.84229391,15316261.0,0.4072386706629055,Flop,Low,Established,Benedict Cumberbatch,Benedict Cumberbatch|Michael Shannon|Nicholas Hoult|Katherine Waterston|Tom Holland,71580|335|3292|77795|1136406,108,6.694,1142,2.5551
9285,Road Trip,2000-05-19,2000,Spring,Comedy|Adventure,Comedy,16000000,119754278,29249337.979094077,218920834.0,7.484642358622727,Blockbuster,Low,Emerging,Breckin Meyer,Breckin Meyer|Seann William Scott|Amy Smart|Paulo Costanzo|DJ Qualls,33654|57599|20189|57133|132078,93,6.232,2159,4.6106
9286,Final Destination 3,2006-02-09,2006,Other,Horror|Mystery,Horror,25000000,118890272,39037202.38095238,185645744.0,4.755610870582854,Hit,Low,Rising,Mary Elizabeth Winstead,Mary Elizabeth Winstead|Ryan Merriman|Kris Lemche|Alexz Johnson|Sam Easton,17628|57136|20176|57137|37700,92,6.2,4518,6.0534
115782,Jobs,2013-08-15,2013,Summer,Drama|History,Drama,12000000,42100000,16212669.527896997,56879449.0,3.508333337833602,Hit,Low,Rising,Ashton Kutcher,Ashton Kutcher|Josh Gad|Lukas Haas|Victor Rasuk|Eddie Hassell,18976|54415|526|59251|170333,129,6.124,2582,3.7885
492611,The Turning,2020-01-23,2020,Other,Horror|Thriller,Horror,14000000,19428166,17029149.922720246,23631797.0,1.3877261699640404,Break-even,Low,Rising,Mackenzie Davis,Mackenzie Davis|Finn Wolfhard|Brooklynn Prince|Mark Huberman|Niall Greig Fulton,1110405|1442069|1704640|96522|122648,94,5.718,1017,1.961
9290,Crocodile Dundee in Los Angeles,2001-04-12,2001,Spring,Adventure|Comedy,Action,21150000,39438674,37594214.568040654,70102410.0,1.8647127172486535,Break-even,Low,Emerging,Paul Hogan,Paul Hogan|Linda Kozlowski|Jere Burns|Jonathan Banks|Alec Wilson,57147|57166|57167|783|76190,95,5.2,659,1.5092
9291,The Longest Yard,2005-05-27,2005,Spring,Drama|Comedy|Crime,Drama,90000000,191466556,145067281.10599077,308617030.0,2.1274061776515585,Break-even,High,A-list,Adam Sandler,Adam Sandler|Chris Rock|James Cromwell|Nelly|Michael Irvin,19292|2632|2505|69128|69127,113,6.668,3642,5.5519
17483,Shelter,2007-06-16,2007,Summer,Drama|Romance,Drama,500000,142666,759276.4109985528,216646.0,0.2853321884649106,Flop,Micro,Emerging,Brad Rowe,Brad Rowe|Trevor Wright|Tricia Pierce|Tina Holmes|Jackson Wurth,65475|61256|81951|40060|81952,89,7.76,499,2.6021
9293,John Tucker Must Die,2006-07-27,2006,Summer,Comedy|Romance,Comedy,18000000,68844775,28106785.714285716,107500297.0,3.8247097370995817,Hit,Low,Emerging,Jesse Metcalfe,Jesse Metcalfe|Brittany Snow|Ashanti|Sophia Bush|Arielle Kebbel,57171|29221|57172|54830|20373,87,6.104,1454,3.0477
9296,S1m0ne,2002-08-23,2002,Summer,Science Fiction|Comedy|Drama|Romance,Sci-Fi,10000000,19576023,17498387.993329626,34254885.0,1.9576023238859455,Break-even,Low,Established,Al Pacino,Al Pacino|Rachel Roberts|Catherine Keener|Evan Rachel Wood|Jay Mohr,1158|35198|2229|38940|12217,117,6.0,980,2.3431
9297,Monster House,2006-06-30,2006,Summer,Animation|Comedy|Family|Fantasy,Comedy,75000000,140175006,117111607.14285715,218881603.0,1.8690000789844852,Break-even,High,Emerging,Mitchel Musso,Mitchel Musso|Sam Lerner|Spencer Locke|Steve Buscemi|Maggie Gyllenhaal,51583|57191|57192|884|1579,91,6.708,4298,5.9547
9298,Ali G Indahouse,2002-03-21,2002,Spring,Comedy,Comedy,7000000,23280529,12248871.59533074,40737173.0,3.3257898642295327,Hit,Low,A-list,Sacha Baron Cohen,Sacha Baron Cohen|Michael Gambon|Charles Dance|Kellie Bright|Martin Freeman,6730|5658|4391|80419|7060,85,6.053,1479,2.8833
1197137,Black Phone 2,2025-10-15,2025,Other,Horror|Thriller,Horror,30000000,132248152,29595361.955499843,130464398.0,4.408271748666862,Hit,Low,Rising,Mason Thames,Mason Thames|Madeleine McGraw|Ethan Hawke|Miguel Mora|Demián Bichir,2803710|1530558|569|3586928|76961,114,6.713,1016,16.9526
1116,The Wind That Shakes the Barley,2006-06-23,2006,Summer,Drama|War,Drama,6500000,22900000,10149672.61904762,35758077.0,3.523076885543458,Hit,Low,A-list,Cillian Murphy,Cillian Murphy|Pádraic Delaney|Liam Cunningham|Orla Fitzgerald|Mary O'Riordan,2037|125237|15498|15509|1896854,127,7.33,883,1.9903
239571,The Best of Me,2014-10-15,2014,Other,Drama|Romance,Drama,26000000,35926213,34578352.34474018,47779587.0,1.3817774347269585,Break-even,Low,Established,Michelle Monaghan,Michelle Monaghan|James Marsden|Luke Bracey|Liana Liberato|Gerald McRaney,11705|11006|972356|60458|29512,117,7.46,2683,3.798
402529,All Eyez on Me,2017-06-12,2017,Summer,History|Drama|Music,Drama,40000000,55668698,51374296.205630355,71498505.0,1.3917174595214044,Break-even,Mid,Emerging,Demetrius Shipp Jr.,Demetrius Shipp Jr.|Danai Gurira|Kat Graham|Jamal Woolard|Dominic L. Santana,1637311|82104|159962|76821|1538289,139,6.708,1225,2.475
9315,Flightplan,2005-09-22,2005,Other,Thriller|Drama|Mystery,Action,55000000,223387299,88652227.34254992,360068757.0,4.061587258362992,Hit,Mid,A-list,Jodie Foster,Jodie Foster|Peter Sarsgaard|Erika Christensen|Kate Beahan|Greta Scacchi,1038|133|21711|57278|21245,98,6.448,2933,3.5138
1124,The Prestige,2006-10-17,2006,Other,Drama|Mystery|Science Fiction,Drama,40000000,109676311,62459523.80952381,171258254.0,2.7419077757023596,Hit,Mid,Established,Hugh Jackman,Hugh Jackman|Christian Bale|Michael Caine|Piper Perabo|Rebecca Hall,6968|3894|3895|15555|15556,130,8.206,17436,13.3031
1125,Dreamgirls,2006-12-25,2006,Holiday,Drama|Music,Drama,70000000,154937680,109304166.66666667,241933343.0,2.2133954301833567,Break-even,High,Established,Jamie Foxx,Jamie Foxx|Beyoncé|Eddie Murphy|Danny Glover|Jennifer Hudson,134|14386|776|2047|15565,130,6.713,1073,2.9778
500852,Miss Bala,2019-01-25,2019,Other,Action,Action,15000000,15200000,18466718.811106768,18712942.0,1.0133333480306823,Break-even,Low,Emerging,Gina Rodriguez,Gina Rodriguez|Ismael Cruz Cordova|Aislinn Derbez|Matt Lauria|Damián Alcázar,180486|1100144|1134883|1224390|7370,104,6.4,585,2.7667
33909,Wall Street: Money Never Sleeps,2010-09-20,2010,Other,Drama|Crime,Drama,70000000,134748021,101034938.10178818,194489399.0,1.9249717241778348,Break-even,High,Rising,Michael Douglas,Michael Douglas|Shia LaBeouf|Josh Brolin|Carey Mulligan|Frank Langella,3392|10959|16851|36662|8924,133,6.097,1673,3.2021
9334,The Scorpion King,2002-04-18,2002,Spring,Action|Adventure|Fantasy,Action,60000000,165333180,104990327.95997776,289306413.0,2.7555529982750735,Hit,High,A-list,Dwayne Johnson,Dwayne Johnson|Steven Brand|Michael Clarke Duncan|Sherri Howard|Bernard Hill,18918|57340|61981|1228834|1369,92,5.593,3349,5.0926
9335,Transporter 2,2005-08-03,2005,Summer,Action|Thriller|Crime,Action,32000000,89100000,51579477.726574495,143616608.0,2.7843749942820115,Hit,Mid,A-list,Jason Statham,Jason Statham|Amber Valletta|Alessandro Gassmann|Kate Nauta|Matthew Modine,976|38425|57345|57346|8654,88,6.328,3910,5.8978
238713,Spy,2015-05-06,2015,Spring,Action|Comedy|Crime,Action,65000000,235666219,86336455.69620253,313024401.0,3.625634136539708,Hit,Mid,Rising,Melissa McCarthy,Melissa McCarthy|Rose Byrne|Jason Statham|Jude Law|Miranda Hart,55536|9827|976|9642|62965,120,6.834,6359,6.5525
9339,Click,2006-06-23,2006,Summer,Comedy|Drama|Fantasy,Comedy,82500000,240685326,128822767.85714287,375827271.0,2.9173978889878467,Hit,High,A-list,Adam Sandler,Adam Sandler|Kate Beckinsale|Christopher Walken|David Hasselhoff|Henry Winkler,19292|3967|4690|28238|31903,107,6.302,7505,7.0725
